Online_Grocery_Site,Product_Catagory,Product_Name,Weight,Unit,DayOfDeal,Original_Price,Discounted_Price,Discount %
jiomart.com,JioMart - Best Online ,Maggi 2-Minute Masala Noodles,70.0,gm,Monday,14.0,13.0,7
jiomart.com,JioMart - Best Online ,Rin Detergent Bar,110.0,gm,Monday,10.0,9.0,10
