Online_Grocery_Site,Product_Catagory,Product_Name,Weight,Unit,DayOfDeal,Original_Price,Discounted_Price,Discount %
jiomart.com,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Original Choco Filled Cookie,300.0,gm,Thursday,170.0,99.0,41
jiomart.com,Buy Biscuits and Cooki,Britannia Jimjam Sandwich Biscuits,138.0,gm,Thursday,35.0,24.0,31
jiomart.com,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Choco Fills Cookies,75.0,gm,Thursday,40.0,30.0,25
jiomart.com,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Bourbon Biscuits,120.0,gm,Thursday,35.0,17.0,51
jiomart.com,Buy Biscuits and Cooki,Parle Hide & Seek Chocolate Chip Cookies,100.0,gm,Thursday,30.0,25.0,16
jiomart.com,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Choco Creme Biscuits,100.0,gm,Thursday,35.0,17.0,51
jiomart.com,Buy Biscuits and Cooki,Britannia Bourbon The Original Cream Biscuits,150.0,gm,Thursday,40.0,30.0,25
jiomart.com,Buy Biscuits and Cooki,Parle-G Original Glucose Biscuits,800.0,gm,Thursday,100.0,84.0,16
jiomart.com,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Vanilla Creme Biscuits,100.0,gm,Thursday,35.0,17.0,51
jiomart.com,Buy Biscuits and Cooki,Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits,400.0,gm,Thursday,130.0,65.0,50
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Noodles,70.0,gm,Thursday,14.0,13.0,7
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,560.0,gm,Thursday,112.0,87.0,22
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,420.0,gm,Thursday,84.0,68.0,19
jiomart.com,"Buy Instant Noodle, Pa",Maggi Nutri-licious Masala Veg Atta Noodles,290.0,gm,Thursday,112.0,74.0,33
jiomart.com,"Buy Instant Noodle, Pa",Sunfeast Yippee Mood Masala Noodles,260.0,gm,Thursday,60.0,30.0,50
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minutes Masala Noodles Pack,832.0,gm,Thursday,160.0,128.0,20
jiomart.com,"Buy Instant Noodle, Pa",Maggi Pazzta Cheese Macaroni,75.0,gm,Thursday,32.0,24.0,25
jiomart.com,"Buy Instant Noodle, Pa",Nissin Geki Hot & Spicy Korean Veg Flavour Noodles,80.0,gm,Thursday,49.0,32.0,34
jiomart.com,"Buy Instant Noodle, Pa",Top Ramen Masala Instant Noodles,360.0,gm,Thursday,78.0,45.0,42
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Noodles,140.0,gm,Thursday,28.0,26.0,7
jiomart.com,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,280.0,gm,Thursday,56.0,51.0,8
jiomart.com,Buy Snacks and Namkeen,Lay's American Style Cream & Onion Potato Chips,90.0,gm,Thursday,50.0,33.0,34
jiomart.com,Buy Snacks and Namkeen,Taali Pudina Punch Protien Puffs,60.0,gm,Thursday,59.0,39.0,33
jiomart.com,Buy Snacks and Namkeen,Taali Cream & Onion Protein Puffs,60.0,gm,Thursday,59.0,39.0,33
